design,n,p,SNR,replicate,Rhat,success,H_minus_T,N_minus_T,mean_acceptance
independent,1000,1000,0.5,12,1.302441108607606,True,125.48199286466661,125.48199286466661,0.3729
independent,1000,1000,0.5,13,1.028471356880198,True,104.6186440789279,104.6186440789279,0.3489416666666667
independent,1000,1000,0.5,14,1.0,True,125.04420340004617,125.04420340004617,0.3775833333333334
independent,1000,1000,0.5,15,1.0,True,122.68813650544507,122.68813650544507,0.41983333333333334
independent,1000,1000,0.5,16,1.0899631154418072,True,101.3149840110309,101.3149840110309,0.37985833333333335
independent,1000,1000,0.5,17,1.0,True,115.63029107414332,115.63029107414332,0.40625833333333333
independent,1000,1000,0.5,18,1.0,True,117.27094582997051,117.27094582997051,0.3756083333333333
independent,1000,1000,0.5,19,1.2865908433540612,True,111.97235527793055,111.97235527793055,0.3371583333333334
independent,1000,1000,0.5,20,1.1203079194468066,True,91.59952422165043,91.59952422165043,0.20179999999999998
independent,1000,1000,1.0,1,1.1341897881138645,True,12.519025032162972,-52.052164957744026,0.005425
independent,1000,1000,1.0,2,1.3936493745322553,True,24.202773289969628,-12.015697362947321,0.010258333333333335
independent,1000,1000,1.0,3,1.0238931104589828,True,34.802642531361926,9.494686749538232,0.008575
independent,1000,1000,1.0,4,1.4269174248725354,True,17.618984255092073,-34.75009194862105,0.0083
independent,1000,1000,1.0,5,1.1668917146966664,True,44.20777923919013,4.199108107917709,0.008641666666666666
independent,1000,1000,1.0,6,1.1841027149562897,True,7.18589504542615,-47.62887389109528,0.007725
independent,1000,1000,1.0,7,1.2699121510724845,True,26.125668187012707,6.020899892155285,0.011225
independent,1000,1000,1.0,8,1.361387639153487,True,21.778672174277744,-12.70474112109514,0.0053083333333333324
independent,1000,1000,1.0,9,1.0543489414749911,True,28.508483869722113,8.309925769111942,0.004866666666666666
independent,1000,1000,1.0,10,1.1393115416109607,True,21.994005756945626,-20.9706682495962,0.005158333333333333
independent,1000,1000,1.0,11,1.166137555391717,True,14.74544998881538,-10.82824157338655,0.006841666666666666
independent,1000,1000,1.0,12,1.1499934858862049,True,6.720435717992586,-33.77245599762318,0.006075000000000001
independent,1000,1000,1.0,13,1.1830716269450896,True,28.14374423346635,-17.783118347517302,0.006191666666666666
independent,1000,1000,1.0,14,1.1204567656075555,True,24.476240034655348,-47.08780716964429,0.004275
independent,1000,1000,1.0,15,1.2014422650234748,True,20.418740782592067,-1.675288498037844,0.005675
independent,1000,1000,1.0,16,1.4209516161154472,True,0.9432736660000955,-33.852736659117,0.0041
independent,1000,1000,1.0,17,1.041384124878295,True,13.042450677832676,-42.84331042069789,0.0046749999999999995
independent,1000,1000,1.0,18,1.0692414442343448,True,14.759230085692252,-21.655998631913462,0.003908333333333333
